Index  ID

1      338
2      29126285;9169475;26578589;22761861;18971253;27924024;17202159
3      29087512;29126285;27924024;16741617
4      GYG1
5      29126285;16385502;27899662;10833420;22708120;16271621;27924024;17202159;29087512;16453001;19281832;19422386;22900683;11359843;10553096;16317091;11752324;10329958;16249517;10496926;10946302
6      6596
7      Q16875
8      29126285;27899662;17569750;27924024;29087512;17707233
9      Dr:Q1LVB6;Mm:G5E8U5
10      29126285;26578589;21150880;18971253;27924024;29087512
11      P16519
12      TUBG1
13      MAPKAPK3
14      TSC22D1
15      23510993;29087512
16      26470
17      Q9UM11
18      Ce:Q9Y1J3;Dm:Q9W0V1;Dr:Q6NZV1;Mm:Q9Z2A0;Rn:O55173
19      Dr:F1QVQ1
20      29087512;29126285;27924024;12054430
21      Mm:Q9WV30
22      17565651;29087512;29126285;27924024
23      19755487;29126285;27924024;29087512;22900683;19875459
24      29126285;29087512;19111069;27924024
25      7263
26      Ce:Q19140;Mm:O35114;Rn:P27615
27      FABP1
28      Ce:Q21338;Dm:Q9V460;Dr:F1QD27;Mm:O55201;Rn:E9PTB2;Sc:P27692
29      P06127
30      TFF3
31      Mm:A0A087WR59;Rn:A0A0G2K3A4
32      Q13105
33      LPCAT3
34      22975076;29087512;27924024
35      Dr:F8W5Z1;Rn:A7UJ12
36      Mm:P97428;Rn:Q4L0E9
37      19103645;22900683
38      29087512;21542777
39      26281
40      Mm:O55111;Rn:F1LYX9
41      ELK4
42      79589
43      29126285;27924024;2111020;17202159;29087512
44      23327
45      17202159;14567977;29087512
46      BRD7
47      Dr:Q6TGW1;Mm:Q91VA6;Rn:E9PT51
48      Q9Y6X1
49      GRM2
50      Mm:Q921K2
51      ZIC3
52      CLTC
53      29087512;16179010
54      27924024;29087512;29126285;22140532
55      GTRD;HTRI;PAZAR;TRRUST
56      29126285;10721699;15592504;27924024;17534446;17202159;29087512
57      SMAD6
58      30837
59      Dm:P54350;Dr:Q1LYE1;Mm:P47810;Rn:Q63802
60      curator;surface
61      Dr:F1R2U0;Mm:Q8BKD6;Rn:D3ZFK0
62      29126285;27899662;19651778;26578589;18971253;27924024;22900683
63      NDUFAF6
64      6138
65      19264593;29087512
66      21478267;29087512
67      1366
68      TMEM71
69      Dr:F1QSG4;Rn:A0A140TAB1
70      6777
71      P21333
72      Q9Y219
73      80714
74      Q9UIH9
75      5453
76      7829523;26578589;7559515;18971253;27924024;17202159;29087512
77      Mm:Q925I4;Rn:Q9Z0R7
78      KLHL29
79      O43187
80      29087512;29126285;27924024;7731694
